cluster,,,37
lv,,,1.5
opt,,,Co2L0-24H-T-H-B-I-A-solar+p3-dist1
planning_horizon,,,2030
AC,generators,offwind-ac,86959851.28164913
AC,generators,offwind-dc,526169464.5622532
AC,generators,onwind,3161547327.0286255
AC,generators,ror,172793923.19867828
AC,generators,solar,5314048058.682144
AC,lines,AC0,-86198457.675364
AC,lines,AC1,86198457.675364
AC,links,DAC2,-55916898.10637564
AC,links,DC0,221755604.04467535
AC,links,DC1,-221755604.04467535
AC,links,H2 Electrolysis0,-4776835918.892981
AC,links,H2 Fuel Cell1,57.955816492701594
AC,links,OCGT1,1525277.2359644154
AC,links,battery charger0,-1181.064896957531
AC,links,battery discharger1,1133.8231558408404
AC,links,electricity distribution grid0,-4890063909.325814
AC,links,helmeth0,-211.44613284875103
AC,links,urban central gas CHP CC1,61.3935558008819
AC,links,urban central gas CHP1,59609148.122024715
AC,links,urban central solid biomass CHP CC1,66864932.868669055
AC,links,urban central solid biomass CHP1,43.668353170638454
AC,storage_units,PHS,-6795836.026934759
AC,storage_units,hydro,340094675.2744965
H2,links,Fischer-Tropsch0,-1691294201.350899
H2,links,H2 Electrolysis1,3248248424.8472266
H2,links,H2 Fuel Cell0,-115.91163298540319
H2,links,H2 pipeline0,347557895.71661425
H2,links,H2 pipeline1,-347557895.71661425
H2,links,SMR CC1,64.87594504816569
H2,links,SMR1,31.18160026957516
H2,links,Sabatier0,-582788683.4790894
H2,loads,H2 for industry,-195780000.0
H2,loads,H2 for shipping,-502844345.71918195
H2,loads,land transport fuel cell,-275541174.5285863
H2,stores,H2,1.3678799412608633e-09
Li ion,links,BEV charger1,780880317.7717265
Li ion,links,V2G0,-180323.28075441736
Li ion,loads,land transport EV,-780699994.4976614
Li ion,stores,Li ion,-7.969447324285284e-10
battery,links,battery charger1,1157.2025402634972
battery,links,battery discharger0,-1157.2034126509132
battery,stores,battery,5.2909066017292616e-17
biogas,links,biogas to gas0,-336339193.64728975
biogas,stores,biogas,336339193.64728975
co2,links,DAC0,-118972123.63058648
co2,links,OCGT2,744037.6760802029
co2,links,SMR CC2,1.8804621753091502
co2,links,SMR2,8.205684281467148
co2,links,biogas to gas2,-67267838.72945796
co2,links,co2 vent1,0.5527219698204757
co2,links,gas for industry CC2,8473111.025260575
co2,links,gas for industry2,0.773070799279958
co2,links,process emissions CC1,15279999.951057734
co2,links,process emissions1,0.485662634979235
co2,links,residential rural gas boiler2,2759892.0634041973
co2,links,residential urban decentral gas boiler2,13779797.513668416
co2,links,services rural gas boiler2,1041643.2385625517
co2,links,services urban decentral gas boiler2,5117771.362718253
co2,links,solid biomass for industry CC2,-210713999.10422522
co2,links,urban central gas CHP CC3,3.1483874769683022
co2,links,urban central gas CHP3,29077633.230255965
co2,links,urban central gas boiler2,30227975.569741845
co2,links,urban central solid biomass CHP CC3,-69436661.05592556
co2,loads,agriculture machinery oil emissions,23388998.64854386
co2,loads,oil emissions,336499747.26453435
co2,stores,co2,-0.07202069461345673
co2 stored,links,DAC1,118972123.63058648
co2 stored,links,Fischer-Tropsch2,-319654604.05531985
co2 stored,links,SMR CC3,16.924159577782355
co2 stored,links,Sabatier2,-93246189.35665432
co2 stored,links,co2 vent0,-0.5527219698204757
co2 stored,links,gas for industry CC3,76257999.2273452
co2 stored,links,helmeth2,-33.831381255800174
co2 stored,links,process emissions CC2,137519999.55951965
co2 stored,links,solid biomass for industry CC3,210713999.10422522
co2 stored,links,urban central gas CHP CC4,28.335487292714728
co2 stored,links,urban central solid biomass CHP CC4,69436661.05592556
co2 stored,stores,co2 stored,-199999999.9990959
gas,generators,gas,34829290.63865498
gas,links,OCGT0,-3720188.380401014
gas,links,SMR CC0,-94.02310876545752
gas,links,SMR0,-41.02842140733574
gas,links,Sabatier1,466230946.78327155
gas,links,biogas to gas1,336339193.64728975
gas,links,gas for industry CC0,-423655551.26302886
gas,links,gas for industry0,-3.86535399639979
gas,links,helmeth1,169.15690627900082
gas,links,residential rural gas boiler0,-13799460.317020984
gas,links,residential urban decentral gas boiler0,-68898987.56834207
gas,links,services rural gas boiler0,-5208216.192812758
gas,links,services urban decentral gas boiler0,-25588856.813591264
gas,links,urban central gas CHP CC0,-157.41937384841515
