
Gurobi 9.5.1 (linux64) logging started Fri May 20 10:09:52 2022

Set parameter LogFile to value "results/220520_duration_1M_step_24H_nodes_37/logs/elec_s_37_lv1.5__Co2L0-24H-T-H-B-I-A-solar+p3-dist1_2030_solver.log"
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 4 physical cores, 8 logical processors, using up to 4 threads
Optimize a model with 2367102 rows, 1135040 columns and 5450612 nonzeros
Model fingerprint: 0x2e130acf
Coefficient statistics:
  Matrix range     [1e-02, 2e+03]
  Objective range  [2e-01, 9e+05]
  Bounds range     [9e-02, 6e+09]
  RHS range        [2e-01, 1e+09]
Warning: Model contains large rhs
Warning: Model contains large bounds
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Presolve removed 1314561 rows and 154284 columns
Presolve time: 3.64s
Presolved: 1052541 rows, 980756 columns, 3841622 nonzeros
Elapsed ordering time = 5s
Elapsed ordering time = 10s
Ordering time: 10.89s

Barrier statistics:
 Dense cols : 1990
 Free vars  : 54219
 AA' NZ     : 3.632e+06
 Factor NZ  : 7.769e+07 (roughly 1.5 GB of memory)
 Factor Ops : 2.185e+11 (roughly 2 seconds per iteration)
 Threads    : 4

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   1.44927010e+16 -3.28956518e+15  4.54e+12 7.06e+04  8.13e+12    46s
   1   1.72333694e+16 -2.84623008e+15  3.87e+12 2.66e+04  5.03e+12    54s
   2   2.09230703e+16 -3.00660711e+15  2.59e+12 1.75e+04  3.37e+12    62s
   3   2.34513987e+16 -3.40565830e+15  1.71e+12 9.45e+03  2.06e+12    71s
   4   2.45445774e+16 -3.45395979e+15  1.15e+12 6.74e+03  1.43e+12    80s
   5   2.47568928e+16 -3.39036095e+15  5.97e+11 3.91e+03  7.73e+11    84s
   6   2.32895157e+16 -3.05652761e+15  2.54e+11 2.06e+03  3.71e+11    88s
   7   2.01453009e+16 -2.47387317e+15  1.01e+11 7.68e+02  1.51e+11    93s
   8   1.39099681e+16 -1.92280198e+15  2.84e+10 2.58e+02  4.86e+10    97s
   9   7.07464402e+15 -1.29922008e+15  5.34e+09 7.38e+01  1.26e+10   101s
  10   2.60721678e+15 -6.84301698e+14  1.11e+09 1.25e+01  3.09e+09   104s
  11   1.86522485e+15 -4.09218178e+14  7.46e+08 3.85e+00  1.85e+09   108s
  12   1.11437234e+15 -2.49725674e+14  4.23e+08 2.48e+00  9.96e+08   111s
  13   7.29002928e+14 -1.60876545e+14  2.68e+08 1.66e+00  6.06e+08   113s
  14   4.18060132e+14 -9.70405958e+13  1.48e+08 1.53e+00  3.29e+08   116s
  15   2.66030080e+14 -7.40347621e+13  9.37e+07 2.75e+00  2.11e+08   119s
  16   1.88919480e+14 -5.89331639e+13  6.57e+07 1.99e+00  1.51e+08   121s
  17   1.07156762e+14 -3.21941279e+13  3.60e+07 9.08e-01  8.21e+07   124s
  18   4.50531831e+13 -1.64476957e+13  1.39e+07 7.02e-01  3.52e+07   128s
  19   2.42736153e+13 -9.02255360e+12  6.96e+06 5.75e-01  1.88e+07   131s
  20   1.47062473e+13 -5.51856566e+12  3.91e+06 4.72e-01  1.13e+07   135s
  21   1.04378747e+13 -3.63356912e+12  2.54e+06 3.79e-01  7.84e+06   139s
  22   8.64599317e+12 -2.76409771e+12  2.00e+06 3.21e-01  6.34e+06   143s
  23   7.55891087e+12 -2.21880386e+12  1.69e+06 2.84e-01  5.43e+06   146s
  24   7.36381299e+12 -2.05088299e+12  1.64e+06 2.94e-01  5.23e+06   149s
  25   6.64956682e+12 -1.76466432e+12  1.45e+06 3.43e-01  4.67e+06   153s
  26   6.33265009e+12 -1.49494386e+12  1.37e+06 2.88e-01  4.34e+06   156s
  27   5.68571352e+12 -1.19986956e+12  1.21e+06 2.68e-01  3.81e+06   159s
  28   5.11006349e+12 -9.23322813e+11  1.06e+06 2.98e-01  3.34e+06   162s
  29   4.67366930e+12 -6.58472581e+11  9.52e+05 3.00e-01  2.95e+06   165s
  30   4.20548441e+12 -4.30014548e+11  8.37e+05 2.68e-01  2.56e+06   169s
  31   3.62093511e+12 -2.45548271e+11  6.95e+05 2.62e-01  2.13e+06   172s
  32   2.89148247e+12  1.94038724e+09  5.15e+05 2.29e-01  1.59e+06   175s
  33   2.33260042e+12  1.67874027e+11  3.79e+05 1.95e-01  1.19e+06   178s
  34   1.97490905e+12  2.76732616e+11  2.95e+05 1.74e-01  9.35e+05   181s
  35   1.69457559e+12  3.79084477e+11  2.29e+05 1.62e-01  7.24e+05   185s
  36   1.43144195e+12  4.70309625e+11  1.66e+05 1.34e-01  5.29e+05   188s
  37   1.21938808e+12  5.12100045e+11  1.18e+05 1.20e-01  3.89e+05   191s
  38   1.07648733e+12  5.50522710e+11  8.44e+04 1.09e-01  2.89e+05   195s
  39   1.00366177e+12  5.91773133e+11  6.72e+04 1.12e-01  2.26e+05   198s
  40   9.32081868e+11  6.16248810e+11  5.05e+04 1.23e-01  1.73e+05   201s
  41   8.79941592e+11  6.32023216e+11  3.85e+04 1.25e-01  1.36e+05   205s
  42   8.50783604e+11  6.47182613e+11  3.16e+04 1.26e-01  1.12e+05   208s
  43   8.13359947e+11  6.59084106e+11  2.29e+04 1.08e-01  8.47e+04   211s
  44   7.92436670e+11  6.71398018e+11  1.80e+04 9.90e-02  6.65e+04   215s
  45   7.80462292e+11  6.81046178e+11  1.53e+04 9.64e-02  5.46e+04   218s
  46   7.63240338e+11  6.87200886e+11  1.13e+04 9.59e-02  4.17e+04   221s
  47   7.55365791e+11  6.91744613e+11  9.51e+03 9.47e-02  3.49e+04   225s
  48   7.49093282e+11  6.94066455e+11  8.06e+03 8.48e-02  3.02e+04   228s
  49   7.41866758e+11  6.97389668e+11  6.40e+03 8.10e-02  2.44e+04   231s
  50   7.36628467e+11  7.01427839e+11  5.21e+03 8.12e-02  1.93e+04   235s
  51   7.30014537e+11  7.03544085e+11  3.71e+03 7.57e-02  1.45e+04   238s
  52   7.26840867e+11  7.06299739e+11  2.99e+03 6.78e-02  1.13e+04   242s
  53   7.23481259e+11  7.07534768e+11  2.21e+03 6.43e-02  8.75e+03   245s
  54   7.21314124e+11  7.08604507e+11  1.72e+03 5.89e-02  6.97e+03   248s
  55   7.19413954e+11  7.09352373e+11  1.28e+03 5.26e-02  5.52e+03   251s
  56   7.18268766e+11  7.10245017e+11  1.02e+03 4.38e-02  4.40e+03   255s
  57   7.16950769e+11  7.10906587e+11  7.28e+02 3.76e-02  3.32e+03   258s
  58   7.16291948e+11  7.11377990e+11  5.80e+02 3.27e-02  2.70e+03   261s
  59   7.15810080e+11  7.11934606e+11  4.69e+02 2.98e-02  2.13e+03   265s
  60   7.15148217e+11  7.12327536e+11  3.26e+02 3.29e-02  1.55e+03   268s
  61   7.14780041e+11  7.12639056e+11  2.46e+02 2.89e-02  1.17e+03   272s
  62   7.14387127e+11  7.12815741e+11  1.65e+02 2.99e-02  8.62e+02   275s
  63   7.14252398e+11  7.13033036e+11  1.35e+02 3.02e-02  6.69e+02   278s
  64   7.14084302e+11  7.13129434e+11  1.00e+02 3.04e-02  5.24e+02   282s
  65   7.13915808e+11  7.13234947e+11  6.56e+01 2.90e-02  3.74e+02   285s
  66   7.13853025e+11  7.13322915e+11  5.29e+01 2.61e-02  2.91e+02   288s
  67   7.13781061e+11  7.13367304e+11  3.90e+01 2.31e-02  2.27e+02   292s
  68   7.13747136e+11  7.13419234e+11  3.23e+01 1.99e-02  1.80e+02   295s
  69   7.13701293e+11  7.13453750e+11  2.33e+01 2.05e-02  1.36e+02   298s
  70   7.13673300e+11  7.13474070e+11  1.79e+01 2.04e-02  1.09e+02   302s
  71   7.13646108e+11  7.13496691e+11  1.28e+01 2.07e-02  8.21e+01   305s
  72   7.13630542e+11  7.13518712e+11  9.86e+00 2.24e-02  6.15e+01   309s
  73   7.13618160e+11  7.13534712e+11  7.60e+00 2.37e-02  4.59e+01   312s
  74   7.13606296e+11  7.13541919e+11  5.52e+00 2.44e-02  3.55e+01   316s
  75   7.13605046e+11  7.13546304e+11  5.30e+00 2.48e-02  3.24e+01   319s
  76   7.13596086e+11  7.13553190e+11  3.74e+00 2.54e-02  2.37e+01   323s
  77   7.13593163e+11  7.13555522e+11  3.22e+00 2.55e-02  2.08e+01   326s
  78   7.13591109e+11  7.13558577e+11  2.87e+00 2.55e-02  1.80e+01   329s
  79   7.13585780e+11  7.13563039e+11  1.93e+00 2.54e-02  1.26e+01   333s
  80   7.13583574e+11  7.13565170e+11  1.55e+00 2.09e-02  1.02e+01   336s
  81   7.13581237e+11  7.13566930e+11  1.14e+00 1.66e-02  7.96e+00   340s
  82   7.13579227e+11  7.13568957e+11  8.06e-01 1.56e-02  5.73e+00   344s
  83   7.13577604e+11  7.13570088e+11  5.41e-01 1.40e-02  4.20e+00   348s
  84   7.13576619e+11  7.13571131e+11  3.81e-01 1.10e-02  3.07e+00   352s
  85   7.13575787e+11  7.13571760e+11  2.49e-01 8.90e-03  2.26e+00   357s
  86   7.13575410e+11  7.13572445e+11  1.89e-01 8.22e-03  1.66e+00   362s
  87   7.13574995e+11  7.13573032e+11  1.27e-01 7.88e-03  1.10e+00   367s
  88   7.13574724e+11  7.13573348e+11  8.52e-02 7.67e-03  7.76e-01   372s
  89   7.13574577e+11  7.13573748e+11  6.26e-02 6.20e-03  4.68e-01   378s
  90   7.13574406e+11  7.13573931e+11  3.60e-02 3.34e-03  2.69e-01   383s

Barrier solved model in 90 iterations and 383.02 seconds (269.97 work units)
Optimal objective 7.13574406e+11

